ind,sentence,talkNum,sentenceNum
452,"There are words that are virtually forbidden, like the word "time," the word "future," the word "wish".",2437,39
453,"This tells me that the notion of the global commons was not really entering into the big money decisions like state budgets or investment plans.And I'm wondering, why do we have this sheer ignorance about the global commons, including me, myself?",1534,28
454,"And I remembered this episode that demonstrated sound is physical, with this simple experiment.",3320,58
455,"With the work that my team has already done on separation of nanoscale biomarkers for rapid, early-stage cancer diagnostics, I am optimistic that within the next decade, this type of technology will be available, helping protect our friends, our family and future generations.",1853,61
456,"People get about half of their added sugars from those drinks and treats, so it might seem like sugar is hiding in plain sight, but like someone in the witness protection program, the other half is hidden in places you'd least suspect.",2661,2
457,"So Homo sapiens, the first technology-creating species, the species that combined a cognitive function with an opposable appendage — and by the way, chimpanzees don't really have a very good opposable thumb — so we could actually manipulate our environment with a power grip and fine motor coordination, and use our mental models to actually change the world and bring on technology.But anyway, the evolution of our species took hundreds of thousands of years, and then working through interaction, evolution used, essentially, the technology-creating species to bring on the next stage, which were the first steps in technological evolution.",4397,46
458,"This, all over the country, is the second largest waste stream in America.",4006,46
459,"And when I looked at the sequence of the DNA, and compared the sequence of Jonas' tumor to that of the rest of his body, I discovered that they had a completely different genetic profile.",3464,52
460,It is the place where we're learning the most.,3603,8
461,"In many theme parks, you can pay extra to jump to the head of the line.",2800,11
462,"Well sometimes we were suspended for a few hours, but we never, we never closed it again.",3387,123
463,"Six years ago, my wife and I, we packed our stuff, we sold our little apartment in Spain, and for the same money we bought a house with a garden and little birds that come singing in the morning.",1652,85
464,By that I think he means fight using law rather than guns.,1542,122
465,"Then, on Friday at 6:43, he began to get certain signs, which later we had the pig run around — I'm not going to go into this early stage.",4402,51
466,"So what extremist groups are very good at is taking a very complicated, confusing, nuanced world and simplifying that world into black and white, good and evil.",1676,23
467,Or just an airport security line delay.,2134,5
468,"So there is a form of internal globalization which is happening, which is as important as external globalization.",4003,83
469,"There was a child who had just gotten out  of surgery with their head half-shaven, and a large scar on their head.",931,32
470,"Here's a place to be loved, to be felt, to be heard, and where we prepare for the most pressing political issues in our neighborhoods.",1003,45
471,"And so, the day of the scheduled procession, thousands of people showed up.",2777,5
472,They have the most impressive nervous system in the entire invertebrate world.,1354,1
473,"The courage to see each other's pain, and to be willing to stay in the presence of it, even when it gets uncomfortable.",1460,106
474,"Or he might wonder if maybe we can make common cause with consumers, with workers, with companies, with communities, for all of us to come together to redefine this incredibly narrow idea of what the purpose of a company really is.Jiminy would want us to remember that nobody works in a vacuum, that the men and women who run companies actively cocreate the reality we all have to share.",249,60
475,It can run and hide.,4337,182
476,It makes a huge difference.,1427,95
477,Choreographer Marius Petipa  and composer Piotr Ilyich Tchaikovsky worked together on every second  of "The Sleeping Beauty.",414,21
478,"And I'm saying a lot of nice things about Google, so I'll be I'll be saying one little critical thing.There's a problem with the Google Zeitgeist, which is it often comes back with news that a lot of people are searching for Britney Spears pictures, which is not necessarily news.",4140,77
479,"There are habitat fragments everywhere, nurtured by talented, passionate, strategic individuals in groups of all sizes, who are building towards systems with more equal access to food and employment, health care, housing, political empowerment, education and healthy environments.",484,47
480,"And so we looked at the voices that were the ones that were excluded, which is all of the people affected by this change.",996,37
481,"And what I've learned that what most people don't understand about immigration is what they don't understand about themselves: their families' old migration stories and the processes they had to go through before green cards and walls even existed, or what shaped their understanding of citizenship itself.I was born in the Philippines.",277,6
482,"Our parents leave us too early, our spouse and our children come along too late.",3333,19
483,"We had one on the shuttle and one on the International Space Station, for 16 months, where we managed to produce the first organisms to go through complete multiple life cycles in space — really pushing the envelope of understanding how malleable our life systems are.And I'm also proud to announce that you're getting a sneak preview — on Friday we're going to announce that we're actually forming a team to develop a system to grow plants on the Moon, which is going to be pretty fun.",3981,114
484,"If you pick this person, the only friend they have to nominate is this person, who, by construction, must have at least two and typically more friends.",3709,65
485,"So, in the case of "The Whale Hunt," how could we extract something like the story of Simeon and Crawford, involving the concepts of wildlife, tools and blood, taking place on the Arctic Ocean, dominated by the color red, happening around 10 a.m. on May 3, with an excitement level of high?",4181,100
486,"But in patients with Alzheimer's disease, amyloid-beta builds up and aggregates in the spaces between the brain's cells, instead of being cleared away  like it's supposed to be, and it's this buildup of amyloid-beta that's thought to be one of the key steps in the development of that terrible disease.",2510,43
487,"But just a couple years later, I witnessed and experienced a lot of incivility in my first job out of college.",1182,18
488,"The boys’ shadows are compared  to “black, bat-like creatures” while the choir itself first appears as “something dark... fumbling along”  the beach.",590,17
489,Broken hearts are literally and figuratively deadly.These associations hold true even for animals.,735,50
490,"And the other way around, if you increase the speed of rotor three and decrease the speed of rotor one, then the robot pitches forward.And then finally, if you spin opposite pairs of rotors faster than the other pair, then the robot yaws about the vertical axis.",3327,22
491,"And there's hope in this next section, of this brain section of somebody else with M.S., because what it illustrates is, amazingly, the brain can repair itself.",2694,39
492,"I thought I was the only one happy, but it turns out mission control was really happy as well.",2267,84
493,They are the creatures that provide the majority of oxygen in the air.,1484,87
494,"Bynum, a guy whose name reminds people of a circus promoter ...(Laughter)a guy with the raw animal magnetism of a young Orville Redenbacher ...(Laughter)I won the election by 17 points.",1584,18
495,(Laughter) So sex play is common in both bonobos and humans.,3586,32
496,"Oxytocin helps a human mother's brain zoom in, pulling her attention in, so that the baby is now at the center of her world.But at the same time, her mind is pushing away, because she remembers there are all these other parts to her identity — other relationships, her work, hobbies, a spiritual and intellectual life, not to mention physical needs: to sleep, to eat, to exercise, to have sex, to go to the bathroom, alone —(Laughter)if possible.This is the emotional tug-of-war of matrescence.",1252,33
497,"I created border games,(Laughter)postcards, snow globes with little architectural models inside of them, and maps that told the story of resilience at the wall and sought for ways that design could bring to light the problems that the border wall was creating.So, is the wall architecture?",986,8
498,So I decided to create a piece which is a self-portrait piece.,3192,25
499,"Given the limitations of our man-made machines, synthetic biology will be a means for us to engineer not only our food, our fuel and our environment, but also ourselves to compensate for our physical inadequacies and to ensure our survival in space.To give you an example of how we can use synthetic biology for space exploration, let us return to the Mars environment.",2102,30
500,But part of getting to know yourself is to unknow yourself.,651,95
501,"We have a toxicity score, a toxicity model, on our system that can actually measure whether you are likely to walk away from a conversation that you're having on Twitter because you feel it's toxic, with some pretty high degree.",917,63
502,"A few years ago, researchers took 18 randomly chosen medical students and they enrolled them in a course at the Philadelphia Museum of Art, where they learned to criticize and analyze works of visual art.",1035,49
503,But then it's connected through Internet too — the new Internet highway that makes Internet one look like a dirt road on the information highway — with 10 gigabits of bandwidth.,4216,209
504,So I have for a long time said that what we really needed was a rapid diagnostic.,4012,180
505,"It took a long time, but eventually some of them began to write to their mothers, their friends, their girlfriends.",2324,38
506,"That was the new reality.By the time I finished that up and I rejoined my military unit and we were getting ready to deploy to Afghanistan, there were soldiers in my unit who were now on their second and third deployments before I even had my first.",2612,35
507,"No head of state would be permitted by their security details to do it, nor be in a position to do it.That's the difference, and the difference has to do with the character of cities themselves, because cities are profoundly multicultural, open, participatory, democratic, able to work with one another.When states face each other, China and the U.S., they face each other like this.",2816,77
508,But we were also getting information that this incredibly delicate environment and its people were under threat because they were at the frontline of both Middle Eastern politics and climate change.,799,47
509,There's no American compassion.,4125,37
510,"But with practice, these tools  can both prevent and de-escalate attacks, and ultimately reduce the hold of panic  on a person’s life.Outside formal therapy, many panickers find relief from the same  beliefs CBT aims to instill: that fear can’t hurt you,  but holding on to it will escalate panic.",211,18
511,"How much stuff goes through your life, how much waste is left behind you.",4358,13
512,"Also, scientists couldn't figure out for a long time the purpose of our massive frontal lobes or broad areas of the parietal lobe.",2711,6
513,"They are powerful reminders that our common humanity has not changed.The thrill of archaeological discovery is as powerful as love, because ancient history is the most seductive mistress imaginable.",1860,7
514,"And he takes a few seconds because we are setting everything, and you are going to see a blue light cutting in front of the helmet because Bruno is going to imagine the movement that needs to be performed, the computer is going to analyze it, Bruno is going to certify it, and when it is certified, the device starts moving under the command of Bruno's brain.",2432,45
515,"And when I look out at particularly this galaxy, which looks a lot like ours, I wonder if there's an art design college conference going on, and intelligent beings there are thinking about, you know, what designs they might do, and there might be a few cosmologists trying to understand where the universe itself came from, and there might even be some in that galaxy looking at ours trying to figure out what's going on over here.But there's a lot of other galaxies, and some are nearby, and they're kind of the color of the Sun, and some are further away and they're a little bluer, and so forth.",4108,12
516,I'm going to talk about political protest and papier mache.,835,0
517,"We can despair and plunge into paralysis, or we can become stubborn optimists with a fierce conviction that no matter how difficult, we must and we can rise to the challenge.Optimism is not about blindly ignoring the realities that surround us, that's foolishness.",162,16
518,"It ignores the fact that death can be an emotionally messy and complex affair, and that there is beauty in decay — beauty in the natural return to the earth from whence we came.",1823,17
519,"(Laughter) Now astrology — we remove the banal idea that your life could be predicted; that you'll, perhaps today, meet a lucky man who's wearing a hat.",3420,16
520,We have seen lateral shifts of power — the power of Greece passed to Rome and the power shifts that occurred during the European civilizations — but we are seeing something slightly different.,3384,15
521,It wasn't always easy.,3406,70
522,"While you're outside, you can look inside any five boxes before security takes you back to the tour bus.",1956,7
523,"And given that projections are that the bulk of economic growth over the next 15 years will come from emerging economies in the developing world, it could easily overtake the United States and become the largest economy in the world.So the implications of that are vast, because it means that this is where employment is — 1.8 billion people — and this is where we can create a more egalitarian world, because people are actually able to earn money and live and thrive, as Andrew Saboru did.Big businesses have recognized this, and what's fascinating about this slide, it's not that the guys can carry boxes on their heads and run around without dropping them off.",3158,30
524,"You all know that crazy system, six days in hell, you get the seventh day free.",2864,54
525,You think that social media is about hooking up online?,3207,97
526,I've been known as many things  over the course of my life.,492,1
527,Data scientists: we should not be the arbiters of truth.,1690,132
528,"And as these local buses approach the city center, they all run side by side and converge in pretty much one main street.So when I stepped off the boat 12 years ago, I tried to make sense of that.",3132,55
529,"One of the most powerful analyses of conflict, inefficiency, corruption, stagnation which I've encountered in recent months is the question of a political economy.",1000,56
530,A third to a half of the population are introverts — a third to a half.,3326,27
531,"Even I had to leave, leaving my children behind with my in-laws.",1010,50
532,And the Chinese gave this small ruling elite loads of military weapons and sophisticated technology in order to ensure that people like me would not speak out against this relationship.,3565,20
533,"(Laughter)Number two: almost everything will work again if you unplug it for a few minutes —(Laughter)(Applause)including you.Three: there is almost nothing outside of you that will help in any kind of lasting way, unless you're waiting for an organ.",1739,18
534,"As China gets bigger and stronger and richer, technologically more advanced, it will inevitably bump up against American positions and prerogatives.Now, for red-blooded Americans — and especially for red-necked Americans like me; I'm from North Carolina — there's something wrong with this picture.",1143,80
535,"I gave her reassurance, but shortly after ... she died of Ebola.For me, her death was very personal.",1458,15
536,"In the 21st century, technology can be part of the solution — if it bends to the needs of the world.So what do I mean by that?",1333,53
537,I want you to look at the solar cell closest to the top of the slide.,533,132
538,But we also know that no action is no longer acceptable.,1195,81
539,And you can see that cycle playing out again and again with all kinds of animals.,2610,42
540,"Expectations of personalization and customization that the live performing arts — which have set curtain times, set venues, attendant inconveniences of travel, parking and the like — simply cannot meet.",3713,14
541,The conditions were dehumanizing and degrading and horrifying — and incomprehensible if you don't actually see it with your eyes.,389,127
542,"The example I have here is a chair that came out of the year in Bali — clearly influenced by local manufacturing and culture, not being stuck behind a single computer screen all day long and be here and there.",3533,49
543,"The standards have changed such that, as Andrés Duany says, the typical road to a subdivision in America allows you to see the curvature of the Earth.",1852,87
544,It was the game that really broke open what's called casual games.,3888,169
545,And that bicycle cable can open or close a hand or a hook or bend an elbow.,3444,22
546,"The leftmost one can’t hold any energy,  because there’s nothing higher than it.",483,25
547,"At the same time,  companies began to develop more drugs that are taken over a patient’s lifetime, like blood pressure  and cholesterol medications, and later anti-depressants  and anti-anxiety medications.",458,15
548,Okay?Watch this.Grandmother: You can't catch me.,3008,177
549,♫ Like the heather ♫♫ on the hillside ♫♫ as they drove us ♫♫ from the Highlands ♫♫ Like the ice flow ♫♫ from the Arctic ♫♫ where we landed ♫♫ in Newfoundland ♫♫ There's a color ♫♫ to my sorrow ♫♫ There's a name for ♫♫ all this sadness ♫♫ Like the ocean ♫♫ in between us ♫♫ I am blue ♫♫ Blue is a river ♫♫ Blue remembered ♫♫ Blue water ♫♫ running clear ♫♫ Blue like a planet ♫♫ to a spaceman ♫♫ Blue river ♫♫ of my tears ♫(Fiddle and synthesizer)♫ So I came here ♫♫ to the city ♫♫ where the dream burns ♫♫ like a furnace ♫♫ And I dazzled ♫♫ in these dark streets ♫♫ like a diamond ♫♫ in a coalface ♫♫ Then the cold wind ♫♫ from the islands ♫♫ blew a storm cloud ♫♫ across the new moon ♫♫ Like the gun smoke ♫♫ above the houses ♫♫ in my home ♫♫ Blue is a river ♫♫ Blue remembered ♫♫ Blue water ♫♫ running clear ♫♫ Blue like a planet ♫♫ to a spaceman ♫♫ Blue river ♫♫ of my tears ♫♫ Blue river ♫♫ of my tears ♫(Fiddle and synthesizer)(Applause),4343,0
550,"My mother's love of photography propelled her to the most remote regions of the earth, and my family and I were fortunate enough to join and support her on these adventures.",2052,23
551,How can we tell the difference between the sound of the Sun and the sound of a pulsar?,3515,12
552,God is going to fix all the problems in the world.,3979,42
553,(Laughter)One of the worst things I've realized over the years is that my experience with disordered eating is not an anomaly.,674,17
554,"Despite having limited access to space and money, the homes in the area are designed with care and detail.",2791,51
555,"Behind each of the million children in institutions, there is usually a story of parents who are desperate and feel they've run out of options, like Natalia in Moldova, who only had enough money to feed her baby, and so had to send her older son to the institution; or Desi, in Bulgaria, who looked after her four children at home until her husband died, but then she had to go out to work full time, and with no support, felt she had no option but to place a child with disabilities in an institution; or the countless young girls too terrified to tell their parents they're pregnant, who leave their babies in a hospital; or the new parents, the young couple who have just found out that their firstborn child has a disability, and instead of being provided with positive messages about their child's potential, are told by the doctors, "Forget her, leave her in the institution, go home and make a healthy one.",3096,48
556,"A family who lost their child  will reflect on their child everyday, through their long span of life.",931,138
557,"Ems can actually move around the world at the speed of light, and by moving to a new location, they can interact more quickly with ems near that new location.So far, I've been talking about what ems can do.",1687,38
558,"What they're feeling for is if the tooth is really hard, then it's healthy, but if it's kind of soft and sticky, that's a signal that the enamel is starting to decay.",2979,33
559,This happens all the time because public opinion polls are either inaccurate or misleading.,2927,11
560,"(Laughter)Truthfully, what happens is, as children grow up, we start to educate them progressively from the waist up.",4438,130
561,As an extreme example: the disease cholera is caused by a bacterium that thrives in the ocean.,3247,27
562,"But they also came because it would be fun.CA: What role did machine learning play in all this?JS: In a certain sense, what we did was machine learning.",2268,126
563,Set up cues and routines in your life to get you to wash your hands.,456,92
564,"So the guy looks at his ink blot and he says, "Well, I definitely don't see blood."",651,119
565,"You can plan, you can write scripts, you can do your storyboards, but at a certain point, your movie will speak back to you, and it's your job to listen.",670,95
566,"I read, didn't understand.I paid attention only when you began to vote and shout, and when your voting and shouting, when the substance of it, began to threaten me.I listened only when you moved toward shattering continental unions and electing vulgar demagogues.Only then did your pain become of interest to me.I know that feeling hurt is often prologue to dealing hurt.",1992,21
567,"And this particular place, the Medes Islands Marine Reserve, is only 94 hectares, and it brings 6 million euros to the local economy, 20 times more than fishing, and it represents 88 percent of all the tourist revenue.",3788,69
568,"It's why we have a dropout rate of roughly 25 percent overall and almost 50 percent of our minority population living in low-income areas, because they're not getting the gift of a good start.My gift of a good start was not only being in a nice family, a good family, but having a family that said to me, "Now listen, we came to this country in banana boats in 1920 and 1924.",3035,132
569,"But rather than go license this off, which is what we normally do, it seemed to me that if we put all our effort not into the technology, but into an understanding of a world that's solved all its other problems, but has somehow come to accept that cities — which, right back from ancient Greece on, were meant to walk around, cities that were architected and built for people — now have a footprint that, while we've solved every other transportation problem — and it's like Moore's law.",4373,62
570,"Oh, that's a cell phone.",3659,68
571,"So the pictures were the only change, and that post shown just once turned out an additional 340,000 voters in that election, according to this research as confirmed by the voter rolls.",1623,115
572,"And so, there's an amazing sense of opportunity out there.",4270,230
573,"Most types of cooking are more like the famous Maillard reaction, which makes chemical changes that turn sugars and proteins into delicious caramel crunchiness and are a lot harder to undo.",2360,28
574,And here the income per person in comparable dollars.,3244,34
575,"So an image of a black hole we've never seen before may eventually be created by piecing together pictures we see all the time of people, buildings, trees, cats and dogs.",1801,93
576,The Arbenz government offered to pay a price based on tax records— where United Fruit had underreported the value of the land.,154,18
577,"Online searches of women applying for jobs reveal nude pictures of them, false allegations they have STDs, their addresses indicating that they are available for sex with real examples of people showing up at this house for said sex.Our ability to go to school is impaired.",1870,57
578,"But we said we'd get rid of that stinkin' thinkin', so we talked to our communities.",2169,47
579,We partnered with the Nature Conservancy for inmates at Stafford Creek Correctional Center to grow endangered prairie plants for restoration of relic prairie areas in Washington state.,3748,21
580,"Organizations that have a lot of happy employees have three times the revenue growth, compared to organizations where that's not true.",1081,7
581,"But we have to remember that enduring and disparate rates and the occurrence and outcome of common medical conditions — heart disease, cancer, diabetes, HIV — diseases that may kill slowly and quietly and take even more black lives prematurely.As the #BlackLivesMatter movement unfolded, I felt frustrated and angry that the medical community has been reluctant to even use the word "racism" in our research and our work.",2131,51
582,"Today ,more than half of all people in the world live in an urban area.",2823,0
583,"We can remove economic stigma, we can remove stigma around race, around where you live, around all those factors and try and bring people together in constructed and effective ways.",3310,115
584,(Laughter)Are you ready?Audience: Yes!Naomi McDougall-Jones: Here's the story.,1628,1
585,These kinds of things play out in lots of bad ways in humans.,3734,169
586,The discovery of dark matter took us one step further away from the center of things.,2944,38
587,"In a cutting-edge report we just launched in New York, we also showed that the groups benefiting most from this $320 billion market are criminal gangs and cartels.",2399,33
588,"You need also state ownership, especially of land assets, in order to build and roll out infrastructures very quickly.",3472,21
589,"When I talk to my patients, my palliative care patients, many of whom are facing illnesses that will end their lives, they have a lot of be frightened of — pain, nausea, vomiting, constipation, fatigue, their impending mortality.",1787,51
590,"This was the 90s, and during the 90s — as was happening with cuisines across most of the world — we were living under the influence of the French haute cuisine, in a world where the local public would also always prefer anything that came from abroad, rather than from our own land.",1344,20
591,"In an amazing moment of serendipity, I had to send TED a new slide to show you what this guy had done.I still remember — (Applause) — I still remember when it happened.",2834,103
592,"As any current or past geometry student knows, the father of geometry was Euclid, a Greek mathematician who lived in Alexandria, Egypt, around 300 B.C.E.",2982,0
593,"See companies, they scale.",3496,146
594,"And I hope it continues to move ahead.For India and such developing countries, armies and armaments, software companies and spaceships may not be as important as taps and toilets.Thank you.",2434,66
595,"The US President, who was caught on tape talking about how he can grab women's body parts wherever he wants, however he wants, can call a survivor a liar at one of his rallies, and the crowds will roar.",1104,18
596,"But when I need Diet Coke and I call it, you guys talk amongst yourselves.",3362,51
597,It's a way of squeezing an enormous amount of information and understanding into a small space.,3726,166
598,"In this city alone, in New York City, 474,000 kids under the age of 18 face hunger every year.",1879,61
599,"To experience the same release of dopamine and resulting mood effects as before, people have to take  larger and larger doses— a cycle that leads to physical dependence  and addiction.As people take more opioids  to compensate for tolerance, noradrenaline levels  become lower and lower, to a point that could impact  basic bodily functions.",393,16
600,(Laughter)Second: spend as much of your life in prison as you possibly can.,4412,80
601,"We're not doing it without fear.Now, let's talk about fear.",1583,13
602,"The motivations of the witch hunters  probably varied as well, but it seems likely that many weren’t  consciously looking for scapegoats— instead, they sincerely believed  in witchcraft, and thought they were doing good by  rooting it out in their communities.",837,21
603,But remember our friend Archimedes.,2037,25
604,"When we started to pay more attention to the way that the food we were eating interacted with our bodies and with the earth, the food industry had to listen.",1244,2
605,"They were bankrupt, spent more than they had, and the extortion sometimes  continued even after the wedding.",1186,48
606,(Applause) I then think that we can make the argument that we should save the old-growth forest as a matter of national defense.,4222,123
607,"So Richard Saul Wurman, the founder of TED often describes us as an understanding organization.",64,47
608,She's never going to know a world where you can't press a button and have millions of people ready to play.,4142,189
609,"But because this is business, and we're running a business, and we want to grow it, at least kind of challenge your own instinct to use gender, because statistics say that you're probably not choosing the best variable to target your product or service.",626,67
610,He had long believed that: “People are trapped in history  and history is trapped in them.”Baldwin’s role in the Civil Rights  movement went beyond observing and reporting.,1005,20
611,"We've just changed the location, the size, the way they operate.",1990,32
612,We will stand up and speak up and have our voices heard.,1616,127
613,"You can feel deep attachment to a long-term partner while you feel intense romantic love for somebody else, while you feel the sex drive for people unrelated to these other partners.",4418,166
614,"But I think that the greater good is being served here by just allowing people — there are very few places, now, where you can go and not have identity, to be completely anonymous and say whatever you'd like.",3773,84
615,"Growing up as a boy, we were taught that men had to be tough, had to be strong, had to be courageous, dominating — no pain, no emotions, with the exception of anger — and definitely no fear; that men are in charge, which means women are not; that men lead, and you should just follow and do what we say; that men are superior; women are inferior; that men are strong; women are weak; that women are of less value, property of men, and objects, particularly sexual objects.",3652,1
616,"I decided to cross during the day, first because I was still a kid and scared of the dark, second because I knew I was already taking a risk, and since not many people tried to cross during the day, I thought I might be able to cross without being seen by anyone.I made it to China on February 15, 2006.",2899,35
617,"And even if a global ban were possible, do you or I in wealthy countries in 2020 have any right to tell the citizens of poor and emerging economies in the 2060s not to touch their fossil fuels?Some people argue that if we work hard enough we can drive down the cost of renewable energy so far that we won't need to ban fossil fuels, the people will stop using them of their own accord.",116,19
618,"We are on the threshold of extraordinary advances, born of our drive to unveil the mysteries of life.So under an endless rain of cosmic dust, the air is full of pollen, micro-diamonds and jewels from other planets and supernova explosions.",2652,39
619,"Like in the story of Goldilocks, they need to get the numbers just right in order to stimulate growth and keep people employed, without letting inflation reach disruptive levels.",2588,27
620,"We can say it has broken down barriers of time and space which separate people, and it's created a condition for an age where information, ideas can be shared freely.But are these great accomplishments in digital technology really the endgame in terms of what can be achieved?",1576,2
621,"Because nowadays, we have interactive content, like video games, that have hundreds of hours of interactive game plays, but only two hours of music, on average.",1238,24
622,"I don't know how we do it.Next week I'm at Electrolux in Sweden, then I'm in Beijing on Friday.",4424,284
623,"Someone who was terrible at languages, and at any given time, speak, read and write five or six.",4022,128
624,"But maybe they have another faculty, something else that would seem equally irrational to us, but they actually tap into some great possible value there.",4374,102
625,He started it just two weeks ago.,2792,49
626,I always used to think that my beginning was one afternoon in my community when my mother had told me that I had escaped three arranged marriages by the time I was two.,2409,2
627,"And a really amazing part of this is that any computer program can be translated into one of these tile programs — specifically, counting.",4165,117
628,"(Pre-recorded voice, lower intonation) The voice has a powerful influence.",1466,134
629,We were able to accomplish this by developing a procedure that I tried to call the "one-step isothermal in vitro recombination method.,1308,33
630,"International collaboration is often needed, too, because fish don't care about our borders.",1225,39
631,"So, from the point of view of a sex worker, politicians are making no sense.",3814,145
632,"We’re not able to print complex  organs just yet, but simpler tissues including blood vessels and tubes responsible for nutrient  and waste exchange are already in our grasp.Bioprinting is a biological  cousin of 3-D printing, a technique that deposits layers of  material on top of each other to construct a three-dimensional object  one slice at a time.",679,3
633,"Next, let's add Asia in red, the Middle East and North Africa in green, sub-Saharan Africa in blue, black is South America, purple is Central America, and then in pukey-yellow, we have North America, Australia and New Zealand.",3240,45
634,"She wrote all her own software to design and built this DNA origami, a beautiful rendition of China, which even has Taiwan, and you can see it's sort of on the world's shortest leash, right?",4165,90
635,"So I'm trying to do that.Even though I'm trying this hard, it's so difficult to test out all possible conditions.",1662,125
636,"And finally a girl explaining in Marathi what it is, and said, "There's a processor inside.",3008,74
637,"So basically, this is about designing with an aim to enhance other people's privacy, because personal data is never truly personal.",332,268
638,"It measures, or at least it tries to measure, exactly how much each country on Earth contributes not to its own population but to the rest of humanity.",2581,83
639,"About 1.4 percent of the population, as far as anyone knows, did anything, either making a space in their basement or actually building a bomb shelter.",4160,44
640,"The act of making is a social activity.And it's good for the planet, too: the trees absorbed carbon when they were growing up, and they gave off oxygen, and now that carbon is trapped inside the walls and it's not being released into the atmosphere.",1865,33
641,And each of these elements can be given physical properties so that we know the physical properties of bone of living animals.,999,25
642,These senior water rights are key.The problem is that all over the West now it looks like this.,3593,23
643,"And we really ought to get serious about doing this, because we're going to need all those jobs to get sustainable prosperity in the aftermath of this pandemic.CA: Just going back to the hydrogen economy that you referred to there, when some people hear that, they think, "Oh, are you talking about hydrogen-fueled cars?"",326,61
644,"And after about 45 minutes, you get really intricate projects like leaves sorted by hue, so you get a color fade and put in a circle like a wreath.And the creator of this, he said, "This is fire.",2929,21
645,"The sun seems impossibly big, but in the great scheme of things, it's a pinprick, one of about 400 billion stars in the Milky Way galaxy, which you can see on a clear night as a pale, white mist  stretched across the sky.",3302,2
646,"Today, a Faustian bargain refers  to a trade that sacrifices integrity for short-term gains.In stagings of Goethe’s play, Mephistopheles appeared  in red tights and cape.",7,17
647,"There were a lot of girls there as well, so I was utterly mortified.None of my explanations or excuses were heard, and I really got it big time.",3016,115
648,"A parade of government subsidies is going to propose big-box and stadium developments in the South Bronx, but there is scant coordination between city agencies on how to deal with the cumulative effects of increased traffic, pollution, solid waste and the impacts on open space.",4439,111
649,"So it's no wonder that some men don't want to be bothered and skip going to the doctor altogether, especially if they feel fine.But herein lies the problem.",2051,37
650,"In this way, the tools of the masters become masterworks to celebrate those who were once subservient.This metaphor extends beyond the realm of art and out into the real world.",1507,11
651,But the modern stock market is  significantly more complicated than its original incarnation.,903,6
652,"There's an entire industry just next to Agbogbloshie making locally fabricated welding machines that power local fabrication.What's really cool as well is that there's a transfer of skills and knowledge across generations, from masters to apprentices, but it's done through active learning, through heuristic learning, learning by doing and by making.",1274,22
653,"You look at them in September, they've gone down.",2937,64
654,"It's called "Bloom," and the surface is made completely out of thermo-bimetal, and its intention is to make this canopy that does two things.",3110,29
655,But we had no evidence that what we built was a therapy.The first hurdle that any therapy has to clear is testing in a mouse.,169,117
656,"But the MBI image shows that tumor much more clearly, as well as a second tumor, which profoundly influence that patient's surgical options.",3638,92
657,The thing is that the high cost of those burial plots is actually very misleading.,2183,26
658,"Maybe you've seen some of the rhetoric: mixed-use designs, zero net energy buildings, smart mobility, green, livable, wonderful cities.",1381,45
659,"What are the advantages and what are the challenges of making that transition?DS: I think some of the trends that are emerging coming out of this pandemic or coming into it and as we look forward is, clearly, this has been a discontinuous change in the trend line as we move from physical to digital.",366,26
660,"We discovered a new behavior where, because of their shape, they actually roll automatically to their side to go through this artificial test bit of grass.Robust systems can perform multiple tasks with the same structure.",2602,5
661,"Or to take an even more striking example, when the Chicago Council on Foreign Relations did a survey of Americans, asking them to guess what percentage of the federal budget went to foreign aid, the guess was 30 percent, which is slightly in excess of the actual level — ("actually about ... 1%") (Laughter) — of U.S. governmental commitments to federal aid.",3114,78
662,And I met a music video director named Chris Milk.,3539,135
663,"So right now, what I'm asking you to do, I'm asking you to show courage.",2629,112
664,And it became ever clearer that economic growth doesn't automatically translate into social growth or human growth.We're now at another moment when another wave of teenagers are entering a cruel job market.,3946,28
665,"A common way of sitting is with a curved back and slumped shoulders, a position that puts uneven pressure on your spine.",2400,18
666,Is there some truth to that?ES: It is.,2674,164
667,"Doctor Who's psychic paper is: when you hold up the psychic paper, the person, in their brain, sees the thing that they need to see.",3233,138
668,"Ashamed at his conduct, he resolved  to focus only on the Fleece, but even this haste proved ruinous.",755,16
669,"So basically we had automobiles, but we were unaware of the forms of life that make up most of the genetic information on our planet.We now have these amazing tools to allow us to explore the unseen world — things like deep sequencing, which allow us to do much more than just skim the surface and look at individual genomes from a particular species, but to look at entire metagenomes, the communities of teeming microorganisms in, on and around us and to document all of the genetic information in these species.",3246,20
670,"Giving up the fight — for that's how it felt, it felt like giving up — meant giving up not only his life but also our story, our story of us as fighters, the story of us as invincible, and for the doctors, the story of themselves as healers.So what do we need?Maybe we don't need a new piece of paper.",2792,95
